,datetime,open,high,low,close,volume
1058,2025-03-21 01:00:00,181.74,183.06,180.26,180.27,116.9858
1059,2025-03-21 01:30:00,180.27,180.66,179.97,180.36,62.1313
1060,2025-03-21 02:00:00,180.5,180.9,179.53,180.03,32.8984
1061,2025-03-21 02:30:00,180.05,181.12,179.6,181.1,44.9058
1062,2025-03-21 03:00:00,181.12,181.17,179.25,179.89,28.853
1063,2025-03-21 03:30:00,179.82,180.33,179.25,180.07,28.4044
1064,2025-03-21 04:00:00,180.1,181.04,179.94,180.51,45.5935
1065,2025-03-21 04:30:00,180.5,180.83,179.95,179.95,23.2074
1066,2025-03-21 05:00:00,179.97,180.1,178.87,178.87,52.1871
1067,2025-03-21 05:30:00,178.79,179.39,178.6,179.35,32.0485
1068,2025-03-21 06:00:00,179.2,179.26,178.6,178.98,68.7597
1069,2025-03-21 06:30:00,178.97,179.32,178.23,178.6,30.5457
1070,2025-03-21 07:00:00,178.57,178.78,177.73,178.15,40.2993
1071,2025-03-21 07:30:00,178.1,179.17,177.7,179.14,30.7667
1072,2025-03-21 08:00:00,179.13,179.37,177.73,177.89,23.2481
1073,2025-03-21 08:30:00,177.73,178.63,177.25,178.49,68.8459
1074,2025-03-21 09:00:00,178.53,178.67,177.46,178.48,12.2825
1075,2025-03-21 09:30:00,178.36,178.61,177.19,177.32,31.1842
1076,2025-03-21 10:00:00,177.32,178.22,176.82,176.84,34.6981
1077,2025-03-21 10:30:00,176.82,177.42,176.31,177.21,27.1058
1078,2025-03-21 11:00:00,177.23,177.27,176.51,176.6,17.8169
1079,2025-03-21 11:30:00,176.54,177.25,176.41,177.19,46.4036
1080,2025-03-21 12:00:00,177.1,178.76,176.9,178.36,26.8181
1081,2025-03-21 12:30:00,178.35,178.42,175.71,175.95,101.7935
1082,2025-03-21 13:00:00,175.8,176.64,175.03,175.24,91.3362
1083,2025-03-21 13:30:00,175.24,175.97,174.04,175.74,76.1664
1084,2025-03-21 14:00:00,175.76,175.88,174.27,175.54,51.6328
1085,2025-03-21 14:30:00,175.51,175.88,174.48,175.28,32.7677
1086,2025-03-21 15:00:00,175.32,175.6,174.48,175.28,15.8815
1087,2025-03-21 15:30:00,175.29,175.68,174.57,175.01,34.6657
1088,2025-03-21 16:00:00,175.11,175.6,174.37,175.45,38.9424
1089,2025-03-21 16:30:00,175.45,177.34,175.41,177.33,102.6699
1090,2025-03-21 17:00:00,177.34,177.99,176.85,177.02,45.5691
1091,2025-03-21 17:30:00,177.0,178.76,176.81,178.54,30.0638
1092,2025-03-21 18:00:00,178.54,178.76,177.67,178.45,49.6679
1093,2025-03-21 18:30:00,178.45,179.93,178.45,179.0,52.6636
1094,2025-03-21 19:00:00,178.98,179.44,178.71,178.75,28.7637
1095,2025-03-21 19:30:00,178.84,179.11,177.86,179.11,26.2445
1096,2025-03-21 20:00:00,179.11,179.85,178.92,179.2,27.0063
1097,2025-03-21 20:30:00,179.22,180.11,179.2,180.04,33.2436
1098,2025-03-21 21:00:00,179.98,180.31,179.72,179.9,20.2739
1099,2025-03-21 21:30:00,179.89,180.64,178.79,179.1,35.4402
1100,2025-03-21 22:00:00,179.13,179.23,178.22,178.22,36.1894
1101,2025-03-21 22:30:00,178.22,178.45,177.35,178.04,22.5145
1102,2025-03-21 23:00:00,177.88,178.9,177.76,178.72,13.0807
1103,2025-03-21 23:30:00,178.66,178.7,177.82,178.26,9.4198
1104,2025-03-22 00:00:00,178.25,180.04,178.24,179.87,32.555
1105,2025-03-22 00:30:00,179.76,180.49,179.6,180.32,22.8355
1106,2025-03-22 01:00:00,180.48,181.31,180.2,180.2,34.6095
1107,2025-03-22 01:30:00,180.2,180.25,178.89,179.2,46.5933
